timestamp,domain,success,rtt_ms,ips
2025-10-24T06:01:27,horn-elektronik.com,1,497.536,92.43.119.40
2025-10-24T06:01:28,rousing.dk,1,807.946,212.237.249.17
2025-10-24T06:01:28,i12.de,0,25.286,
2025-10-24T06:01:28,casco.com,1,27.016,18.172.64.33;18.172.64.52;18.172.64.64;18.172.64.87
2025-10-24T06:01:28,ambassadorsspfhf.org,0,148.281,
2025-10-24T06:01:28,capella.edu,1,26.127,104.18.41.240;172.64.146.16;2606:4700:4404::6812:29f0;2606:4700:440d::ac40:9210
2025-10-24T06:01:29,nipslab.org,1,416.598,89.46.108.36
2025-10-24T06:01:29,webxtrap.com,1,392.682,109.234.165.168
2025-10-24T06:01:29,stopallthathating.com,0,25.876,
2025-10-24T06:01:29,ovtoc.com,1,353.457,64.190.63.222
2025-10-24T06:01:30,vaco.ru,1,904.870,81.88.217.58
2025-10-24T06:01:31,ku.edu,1,389.061,129.237.135.76
2025-10-24T06:01:31,amedeos.net,1,86.693,13.248.243.5;76.223.105.230
2025-10-24T06:01:31,thankfullyyours.com,1,86.341,23.227.38.32
2025-10-24T06:01:31,elettronix.com,1,25.167,217.64.201.130
2025-10-24T06:01:31,meintrendyhandy.de,1,471.373,94.143.8.110
2025-10-24T06:01:32,a-loud.com,1,165.386,183.111.199.180
2025-10-24T06:01:32,hznzcn.com,1,450.083,120.55.81.189
2025-10-24T06:01:32,zilch.org,1,365.508,104.237.133.18
2025-10-24T06:01:32,metabans.com,1,27.277,104.21.65.104;172.67.162.83;2606:4700:3031::6815:4168;2606:4700:3037::ac43:a253
2025-10-24T06:01:33,tretsomshop.nl,1,357.184,23.227.38.32
2025-10-24T06:01:33,gba4iosapp.com,1,81.324,198.49.23.144
