timestamp,domain,success,rtt_ms,ips
2025-10-24T06:02:57,gustissimo.it,1,327.078,178.255.74.104;178.255.74.133;178.255.74.135
2025-10-24T06:02:58,auto-klad.ru,1,396.627,62.122.170.171
2025-10-24T06:02:58,iointegrators.com,1,44.623,76.120.251.25
2025-10-24T06:02:58,daytimeghosthunter.com,0,30.185,
2025-10-24T06:02:58,sapendolo.it,0,83.352,
2025-10-24T06:02:58,saharaimport.com,1,496.787,176.9.116.24
2025-10-24T06:02:58,ngoanhien.com,0,26.453,
2025-10-24T06:02:59,itgeorgia.co,1,353.181,64.98.135.85
2025-10-24T06:02:59,myfantasticpark.es,1,291.908,89.31.143.90
2025-10-24T06:02:59,vinayaprabha.com,1,133.284,185.230.63.107;185.230.63.171;185.230.63.186
2025-10-24T06:03:00,sitiweb.us,1,386.728,136.243.45.246
2025-10-24T06:03:00,contentremarketing.com,1,360.529,216.10.240.70
2025-10-24T06:03:00,videofun.me,0,45.112,
2025-10-24T06:03:00,breezelaw.com,1,80.996,13.248.169.48;76.223.54.146
2025-10-24T06:03:01,ranocchi.it,1,342.567,52.18.99.110
2025-10-24T06:03:01,22hotmail.com,1,22.179,20.112.250.133;20.231.239.246;20.236.44.162;20.70.246.20;20.76.201.171
2025-10-24T06:03:01,ana-sofia.pt,1,459.270,185.32.190.38
2025-10-24T06:03:01,abhair.com,1,292.064,23.227.38.32
2025-10-24T06:03:01,tripladoppia.com,0,27.206,
2025-10-24T06:03:02,gardeninginflorida.com,1,79.931,13.248.213.45;76.223.67.189
2025-10-24T06:03:02,thepropertyvault.co.uk,1,79.466,13.248.213.45;76.223.67.189
2025-10-24T06:03:02,viahttps.com,1,367.384,64.251.0.59
2025-10-24T06:03:02,adverman.com,1,393.102,77.87.198.232
2025-10-24T06:03:02,majorleaguelacrosse.com,1,23.110,104.21.87.175;172.67.170.123;2606:4700:3034::6815:57af;2606:4700:3036::ac43:aa7b
2025-10-24T06:03:03,rubenquinones.com,1,79.182,15.197.225.128;3.33.251.168
2025-10-24T06:03:03,kanoon-ansar.org,1,86.177,194.59.214.75
2025-10-24T06:03:03,arrabonet.hu,1,396.808,213.163.44.68
2025-10-24T06:03:03,wordai.com,1,31.395,23.111.159.202
2025-10-24T06:03:03,muhammedmusa.com,0,26.752,
2025-10-24T06:03:03,freepornvideosx.com,0,26.828,
2025-10-24T06:03:03,120shenbing.com,0,25.052,
2025-10-24T06:03:03,onetoshop.nl,1,22.036,35.204.76.89
2025-10-24T06:03:04,meditekyazilim.net,1,576.632,185.95.3.218
2025-10-24T06:03:04,theexoticpersian.com,0,25.003,
2025-10-24T06:03:04,boh10suphanburi.com,0,23.814,
2025-10-24T06:03:04,overseasmedical.com,1,430.512,213.123.239.55
2025-10-24T06:03:04,grandcanyongrandhotel.com,1,23.402,142.44.217.176
2025-10-24T06:03:04,boneshoppe.com,0,27.702,
2025-10-24T06:03:05,sweathelp.org,1,79.267,107.180.114.231
2025-10-24T06:03:05,c0.pl,1,433.263,95.211.144.68
2025-10-24T06:03:05,sipflash.com,0,80.564,
2025-10-24T06:03:05,koopsmodellbau.de,1,294.778,217.160.0.247
2025-10-24T06:03:05,lespetiteschoses.com,1,20.792,23.227.38.65;2620:127:f00f:5::
2025-10-24T06:03:06,b2b2c.ca,1,306.687,13.107.246.36
2025-10-24T06:03:06,pilsnerurquell.com,1,18.859,93.185.98.138
2025-10-24T06:03:06,medintime.ru,1,22.181,104.21.2.236;172.67.129.206;2606:4700:3034::ac43:81ce;2606:4700:3037::6815:2ec
2025-10-24T06:03:06,njafe.org,1,263.368,103.224.182.253
2025-10-24T06:03:06,djbarryblends.com,1,17.390,54.225.184.165
2025-10-24T06:03:06,deine-bahn.de,1,18.531,2001:1520:a:4a::;92.204.239.74
2025-10-24T06:03:07,hackthissite.org,1,438.441,137.74.187.100;137.74.187.101;137.74.187.102;137.74.187.103;137.74.187.104
2025-10-24T06:03:07,ereadz.com,0,25.897,
2025-10-24T06:03:07,gurukulonline.com,1,85.259,13.248.169.48;76.223.54.146
2025-10-24T06:03:07,sf-notifications.com,0,27.229,
2025-10-24T06:03:08,capequilog.com,1,932.112,208.94.116.26
2025-10-24T06:03:08,greens.my,1,21.176,104.21.4.120;172.67.132.13;2606:4700:3031::ac43:840d;2606:4700:3037::6815:478
2025-10-24T06:03:08,2xfzy.com,1,452.001,23.226.181.53
2025-10-24T06:03:08,magic-illusion.ru,1,22.915,104.21.4.130;172.67.132.25;2606:4700:3030::ac43:8419;2606:4700:3037::6815:482
2025-10-24T06:03:08,irflashgame.com,0,79.229,
2025-10-24T06:03:08,solcredito.es,1,22.849,18.239.153.17;18.239.153.56;18.239.153.67;18.239.153.86
2025-10-24T06:03:09,go2jump.com,1,85.509,34.175.54.178
2025-10-24T06:03:09,millionfareast.com,1,86.314,72.167.243.77
2025-10-24T06:03:09,msf.be,1,23.843,77.241.81.151
2025-10-24T06:03:09,cellslider.net,1,25.759,20.237.25.126
2025-10-24T06:03:09,bhhsneproperties.com,1,22.809,8.43.189.250
2025-10-24T06:03:09,skplus.kr,0,170.433,
2025-10-24T06:03:09,empclan.com,1,337.286,64.26.30.251
2025-10-24T06:03:09,carolgraykennedy.com,0,31.140,
2025-10-24T06:03:09,kiyimuzik.com,1,24.816,104.21.63.112;172.67.145.101;2606:4700:3030::ac43:9165;2606:4700:3035::6815:3f70
2025-10-24T06:03:09,yunpda.com,0,24.460,
2025-10-24T06:03:09,valdo.com,1,27.212,23.227.38.65
2025-10-24T06:03:10,supportpabiomass.org,1,317.933,162.248.51.100
2025-10-24T06:03:10,roche-applied-science.com,1,86.156,149.250.245.221
2025-10-24T06:03:10,oneworldinfo.com,1,385.396,13.223.25.84;2600:1f18:4ae:c605:dd5d:b838:5816:d7fb;2600:1f18:4ae:c606:78d4:4260:db4e:aeee;54.243.117.197
2025-10-24T06:03:10,7apcrshrmanila.org,0,87.176,
2025-10-24T06:03:10,ilikecrochet.com,1,27.773,192.124.249.58
2025-10-24T06:03:10,closerdiets.com,1,22.444,2a00:18e0:5:2:7577:4e4d:413b:f507;2a00:18e0:5:3:dfe2:c743:85aa:61bc;5.22.145.121;5.22.145.16
2025-10-24T06:03:11,myface.com,0,27.065,
2025-10-24T06:03:11,megi.cz,1,163.169,2a0e:acc0::c19;2a0e:acc0::c20;45.138.107.19;45.138.107.20
2025-10-24T06:03:11,pces.in,1,85.853,195.35.44.242;2a02:4780:11:1357:0:146a:fbf5:3
2025-10-24T06:03:11,originalmagicart.com,1,86.560,15.197.225.128;3.33.251.168
2025-10-24T06:03:11,godo.co.kr,1,141.064,180.210.81.80
2025-10-24T06:03:11,ugotrelis.com,1,388.559,213.186.33.82
2025-10-24T06:03:12,alb-automobiles.com,0,27.993,
2025-10-24T06:03:12,ok-magazine.ru,1,815.256,188.124.32.70
2025-10-24T06:03:12,wiltpr.com,0,26.401,
2025-10-24T06:03:13,dmg-dental.com,1,563.064,2a01:4f8:c0c:977a::1;49.13.234.53
2025-10-24T06:03:13,silkroadtours.com,1,144.850,23.236.62.147
2025-10-24T06:03:14,rositehost.com,1,433.830,178.157.78.2
2025-10-24T06:03:14,livescan4all.com,1,244.995,149.20.203.54
2025-10-24T06:03:14,oberandsons.com,1,266.897,34.128.166.114
2025-10-24T06:03:14,celerity.com,1,28.184,35.188.214.201
2025-10-24T06:03:14,miscellaneousheathen.com,1,313.476,75.127.72.229
2025-10-24T06:03:15,rolflouisville.com,1,263.043,208.88.75.191
2025-10-24T06:03:15,jacquelinemertz.ch,0,25.898,
2025-10-24T06:03:15,gaplex.biz,0,26.651,
2025-10-24T06:03:15,frasesdemotivacao.net,0,26.762,
2025-10-24T06:03:15,divefishhouse.com,0,25.966,
2025-10-24T06:03:15,stark.dk,1,20.472,20.50.2.80
2025-10-24T06:03:15,xxx-muschis.de,0,176.109,
2025-10-24T06:03:15,florenseusa.com,1,83.015,34.95.203.179
